"Year","Lat","Lon","Density"
1982,57.41667,-165.28333,2733.77293164597
1982,58.01667,-165.96667,740.05940677196
1982,57.4,-165.85,2346.81248462023
1982,57.96667,-167.8,2429.39401613599
1982,58.31667,-170.36667,744.368159099805
1982,58.31667,-168.96667,404.526100951809
1982,58.66667,-171.81667,448.989267451833
1982,59.31667,-172.33333,3501.384050384
1982,58.96667,-171.71667,1013.87315715554
1982,58.33333,-168.36667,152.98895233945
1982,59.65,-173.1,656.854051231496
1982,59.18333,-172.06667,74.1142557309906
1982,58.36667,-169.61667,599.282168335598
1982,59.68333,-173.75,535.461333188076
1982,59.33333,-174.38333,745.847526918029
1982,59.35,-173.75,560.906536233803
1982,59.35,-173.05,611.955809357801
1982,59,-172.86667,2871.13492131488
1982,58.95,-172.3,131.2026345336
1982,57.66667,-165.88333,575.043181045547
1982,57.68333,-166.41667,2091.64716212661
1982,57.4,-166.48333,1136.26729611479
1982,55.03333,-166.35,16657.8046478103
1982,57.35,-170.23333,11572.5213482631
1982,55.03333,-166.93333,188.864345365589
1982,58,-164,881.856496404912
1982,57.68333,-164.01667,638.657789622139
1982,57.35,-163.98333,130.271599019336
1982,57.00167,-173.23,17660.9283872059
1982,57.68333,-172.15,65.788439847202
1982,57.68333,-172.76667,1465.26903728696
1982,59.35,-171.18917,8056.82886482349
1982,60.33667,-171.385,6567.71645356559
1982,59.68334,-171.28834,299.617043994721
1982,60.02334,-171.29583,808.319460633735
1982,59.015,-171.12334,599.377069944128
1982,59.005,-175.75334,576.00724870367
1982,58.00667,-173.475,536.663713607139
1982,58.35083,-174.32084,250.912870123099
1982,59.645,-171.9,3226.07872818606
1982,60.33417,-174.0225,6187.77443506664
1982,60.00167,-173.26583,3337.74336518985
1982,60.0025,-172.59334,76.7704647758569
1982,59.98167,-171.9525,545.602560402133
1982,60.00167,-174.57084,4781.19495759703
1982,59.99334,-173.92667,18602.1677967212
1982,59.00334,-176.9775,1047.64162405428
1982,59.00167,-177.63084,928.205778979397
1982,59.665,-172.59334,7823.02146157027
1982,59.68417,-174.41417,616.257917494764
1982,59.6675,-175.12417,668.690136422021
1982,59.6675,-175.895,1639.96154726691
1982,59.65417,-176.565,2864.62436415726
1982,59.6625,-177.16667,857.888175091269
1982,58.66834,-176.22917,10817.626751573
1982,59.3225,-176.36333,1113.54781146971
1982,59.98167,-177.17917,966.936942508359
1982,59.9875,-176.72167,161.355461224784
1982,59.9875,-175.8975,1492.58981613839
1982,60,-175.23417,32022.9034683108
1982,58.68417,-176.8225,1897.16807442614
1982,59.3225,-175.72334,987.640939931318
1982,59.3475,-175.08667,9823.89159697315
1982,57.5,-170.5925,38792.3255273087
1982,56.8325,-169.88667,76.8820121556827
1982,59.99083,-170.58167,437.057943689588
1982,59.3175,-170.5125,524.469532427506
1982,60.34,-170.00917,597.733710285953
1982,58.99917,-169.84667,1881.65487832968
1982,60.0125,-168.63417,1584.61228881463
1982,59.01,-170.46,3401.89677079251
1982,59.33084,-169.87584,1110.04555109518
1982,59.315,-169.2225,323.917986984339
1982,59.6575,-170.5425,808.48744060273
1982,60.3275,-169.30084,942.845669892073
1982,60.00834,-169.935,76.902314852993
